av号,播放量,标题
20728609,3985467,声优们的精分现场简直爆炸【声优配音现场第二期】
52618310,3980070,绝地求鲲
15406275,3970870,【慢燃】吾乃！！常山，赵子龙！！！！！！！！！
36423083,3961373,【前方高能】四首引发亿万宅男疯狂的演唱会现场
64716928,3953141,【你的名字】鲲鲲与乔碧萝的爱情故事
68371333,3949939,不 祥 之 刃
58010056,3948357,最近网络超火的《Out of Time》，小胖子跳舞太洗脑！
34088311,3942545,【铁齿铜牙纪晓岚】是狼是狗分不清楚
68216174,3928563,知乎8万点赞！堪比人生外挂！教你厚黑心理技巧
84090154,3912482,或许这就是神仙打架吧...
68767286,3912337,中国一学生携防弹衣入美被拒，一句灵魂拷问！令美国网友陷入沉思
28862033,3897503,那些6到让我们窒息的操作！（第40期）
1630710,3871240,IPhone简直就是垃圾!!!
75250371,3856346,【英雄联盟】官方音乐短片：真实伤害-《巨人》
8744507,3854348,【街头表演】周杰伦外国扮街头艺人，引来路人轰动！
51689232,3833943,戴上耳机！前方高能！！带你体验一场极致奢华的视听盛宴！！！
80983814,3788979,半夜起来看的，差点笑屎在床上
46900196,3779881,这集vlog我们拍了十年，致最美好的青春
20258469,3774374,传销现场，日本网红最强洗脑神曲《把女儿嫁给我吧》
5928176,3746266,【灵魂rap】全明星教你背古诗
28089913,3731883,《回家的诱惑》洪世贤语录，本世纪最清醒渣男，渣的明明白白！
16595534,3728765,【花泽香菜】【用一场演唱告诉你日本宅男有多可怕】
68345412,3726493,被压迫的人民站起来了！
78490775,3722383,【这才是原创！】当女朋友学四川话骂人
49818438,3717071,我们结婚啦
54385284,3711371,消防员男友葬身火海，女友主持人播到死亡名单时，瞬间泪崩
54943937,3710901,【JOJO/吉良吉影】遇事不决 · 败者食尘
18767799,3658944,【英雄联盟/极致画质/超燃CG】感受国服配音的魅力吧！ 你的热血从未结霜！！
53556419,3656752,看一次哭一次。
57507305,3646137,我从未见过如此究极沙雕的视频
82454398,3645662,年度致郁短片：《你，真的不行》
86154367,3645549,【家有儿女】家有骚话！蝙蝠炖汤，棺材反光
78793456,3640616,卧槽他没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了没了
77205212,3638866,美   国   队   长
82276297,3629687,加 密 通 话
52886872,3616798,皮卡丘：你对我的速度一无所知
